diner_idx,diner_name,diner_category_large,diner_category_middle,diner_category_small,diner_category_detail,diner_menu,diner_review_cnt,diner_review_avg,diner_review_tags,diner_address,diner_phone,diner_lon,diner_lat,diner_url,diner_open_time,diner_address_constituency
1933726193,칸죠크,음식점,아시아음식,아시아음식,,"['소고기완자\n8,500', '소고기등심 볶음\n8,500', '소고기야채 볶음밥\n8,000', '허르헉(1인분)\n18,000', '양념양갈비\n13,000']",1,4.4,,서울 강동구 올림픽로100길 6,02-428-9265,37.5522840011516,127.128862765228,http://place.map.kakao.com/1933726193,제공하지 않음,서울 강동구
11067503,민속옛떡,음식점,간식,"떡,한과",,[],0,3.9,,서울 강동구 양재대로138길 11,02-3427-1194,37.5498079090912,127.144556716097,http://place.map.kakao.com/11067503,제공하지 않음,서울 강동구
137874876,불로군 불족발불닭발 천호점,음식점,한식,"육류,고기","족발,보쌈",[],0,3.9,,서울 강동구 올림픽로80길 45,070-8955-5954,37.5430157092936,127.127778632802,http://place.map.kakao.com/137874876,,서울 강동구
374870296,홍대미남보쌈족발,음식점,한식,"육류,고기","족발,보쌈",[],0,3.9,,서울 강동구 천호대로 1055,02-470-7778,37.5382843792175,127.13041820657,http://place.map.kakao.com/374870296,제공하지 않음,서울 강동구
107590137,도깨비족발보쌈,음식점,한식,"육류,고기","족발,보쌈",[],1,4.4,,서울 강동구 천호대로163길 35,02-475-5858,37.538197908309016,127.13120895494616,http://place.map.kakao.com/107590137,매일 11:00 ~ 02:40,서울 강동구
414845497,김펄펄족발&보쌈,음식점,한식,"육류,고기","족발,보쌈","['따끈따끈 마늘보쌈(대)\n43,000', '따끈따끈 중화보쌈(대)\n43,000', '흑마늘 족발(대)\n43,000', '매운보쌈(대)\n43,000', '날치알밥\n4,000']",1,4.4,맛@1@가성비@1@친절@1@,서울 강동구 올림픽로92길 19,02-488-9788,37.5477331135662,127.127985849362,http://place.map.kakao.com/414845497,매일 15:00 ~ 02:00,서울 강동구
1496012746,도니네족발보쌈,음식점,한식,"육류,고기","족발,보쌈","['족발\n29,000', '보쌈\n29,000']",1,3.9,맛@1@가성비@1@친절@1@,서울 강동구 구천면로34길 25,02-470-6777,37.54244282254236,127.13254821180588,http://place.map.kakao.com/1496012746,화~일 12:30 ~ 24:00,서울 강동구
173196228,천호동족발,음식점,한식,"육류,고기","족발,보쌈","['족발(소)\n30,000', '족발(중)\n37,000', '마늘족발(소)\n32,000', '쟁반막국수\n12,000', '물막국수\n7,000']",4,4.4,맛@1@가성비@1@친절@1@,서울 강동구 천중로 89,02-474-7750,37.5447554004691,127.131918626295,http://place.map.kakao.com/173196228,매일 13:00 ~ 01:00,서울 강동구
1572530600,구구족 강동점,음식점,한식,"육류,고기","족발,보쌈","['당일 삶은 구구 족발\n25,900', '순살 매운 양념 족발\n28,900', '순살 마늘 족발\n28,900', '싹쓰리 순살 족발\n29,900', '순살 반반 족발\n28,900', '1인 순살 오리지널 족발\n18,900', '', '', '', '', '', '', '', '', '', '']",2,3.9,,서울 강동구 올림픽로 746,02-482-9989,37.5476999593692,127.126982049532,http://place.map.kakao.com/1572530600,제공하지 않음,서울 강동구
1638600377,완미족발 서울길동점,음식점,한식,"육류,고기","족발,보쌈","['남도식 한상 족발\n36,900', '매운 족발\n36,900', '마라 족발\n36,900', '온족+마라족\n38,900', '온족+불족\n38,900', '족뱅이\n18,000', '', '', '', '', '', '', '']",0,4.4,,서울 강동구 양재대로111길 52,,37.5378067255673,127.136896149715,http://place.map.kakao.com/1638600377,매일 16:00 ~ 02:00,서울 강동구
20679438,족발사우나,음식점,한식,"육류,고기","족발,보쌈","['족발(소)\n32,000', '매운족발\n37,000', '반반족발\n42,000', '막국수(소)\n7,000', '부추전\n9,000', '어묵탕\n7,000', '']",6,3.9,맛@3@친절@2@분위기@2@가성비@1@주차@1@,서울 강동구 올림픽로 763,02-441-8454,37.54931278810481,127.12694291486652,http://place.map.kakao.com/20679438,제공하지 않음,서울 강동구
14084322,박정자할매족발보쌈 천호3동점,음식점,한식,"육류,고기","족발,보쌈","['할매보쌈\n부드러운 보쌈고기와 보쌈김치가 어우러진 담백한 맛', '할매왕족발\n무우생절이와 같이 즐기는 꼬들 꼬들한 족발', '쟁반막국수\n매콤, 새콤, 달콤 소스에 쫄깃쫄깃한 면발을 즐길 수 있는 시원한 메뉴', '부대찌개\n3가지 햄, 소세지, 민찌와 할매보쌈만의 육수와 양념장으로 맛을 낸 식사메뉴', '할매왕통뼈감자탕\n신선한 돼지 등뼈와 깊은 국물맛이 어우러진 최상의 맛', '매운갈비찜\n매운맛이 일품인 돼지 갈비찜', '', '']",0,3.9,,서울 강동구 성안로25길 9,,37.5380341917257,127.134970804404,http://place.map.kakao.com/14084322,제공하지 않음,서울 강동구
1519864972,더꾸운,음식점,한식,"육류,고기","족발,보쌈","['숯불에 꾸운 매운족발\n43,000\nThe꾸운의특제 소스로 특별한 맛 어디서도 맛 보지 못한 매운족발', '숯불에 꾸운반반족발\n41,000\n숯불에 꾸운 두가지 맛을 동시에!', '숯불에 꾸운 족발\n39,000\n숯불에 꾸워 겉은 바삭하고 속은 촉촉한 숯불 족발', '특제김치와 보쌈\n39,000', '폭탄계란찜\n4,000', '막국수\n6,000', '', '']",0,3.9,,서울 강동구 천호대로176길 18,02-473-9991,37.5336766976548,127.135981214504,http://place.map.kakao.com/1519864972,"월,수,목,금,토,일 16:00 ~ 24:00",서울 강동구
